  42 NAVANHANDAVA   83.25   331.33    111.09   116.64    50.09     -       -         0.03     0.03      -    69.25   275.63
  43 TRES IRMAOS    58.36  2012.84    140.03   177.08     7.80    18.42    -         0.14     0.09      -    56.52  1949.34
  45 JUPIA          78.59   710.26    981.89   412.68   419.53     -       -         0.09     0.14      -    95.13   859.72
  46 P. PRIMAVERA   16.53   102.13    555.76   447.43     4.48     -       -        -0.83     0.63      -    33.37   206.19
  47 A.A. LAYDNER   65.56  2074.97     19.96    30.95     0.00     -       -        -0.03     0.09      -    65.21  2063.93
  48 PIRAJU           -        -       30.76    28.32     2.43     -       -         0.00     0.00      -      -        -  
  49 CHAVANTES      87.14  2649.93     38.64    50.14   100.31     -       -        -0.08     0.05      -    83.46  2538.14
  50 L.N. GARCEZ      -        -      138.47    38.80    99.59     -       -         0.01     0.08      -      -        -  
  51 CANOAS II        -        -      128.31    34.96    93.34     -       -         0.01     0.01      -      -        -  
  52 CANOAS I         -        -      124.84    24.64   100.18     -       -         0.00     0.02      -      -        -  
  57 MAUA           98.23   652.25     59.27    27.55   248.42     -       -        -0.06     0.07      -    65.59   435.53
  61 CAPIVARA       90.60  5185.94    199.63    76.11   656.83     -       -        -0.11     0.23      -    81.28  4652.51
  62 TAQUARUCU      77.87   107.56    575.15   124.84   474.26     -       -        -0.02     0.03      -    60.52    83.59
  63 ROSANA         87.82   357.92    461.22   121.43   290.22     -       -        -0.10     0.16      -    99.97   407.43
  66 ITAIPU         89.62  1531.36   1084.67  1089.44     0.48     -       -        -1.50     0.98      -    89.34  1526.62
  71 STA CLARA PR  100.00   262.00     26.70    12.03    32.94     -       -        -0.01     0.03      -    93.01   243.69
  72 FUNDAO           -        -       45.16    11.51    33.66     -       -         0.00     0.00      -      -        -  
  73 JORDAO        100.00    25.00     48.29     -       41.02     9.01    -         0.00     0.00      -    93.03    23.26
  74 G.B. MUNHOZ    96.14  3658.13    133.57    78.19   243.53     -       -        -0.09     0.54      -    91.18  3469.54
  76 SEGREDO        98.20   381.02    349.49    99.14   255.35     -       -        -0.04     0.01      -    96.92   376.05
  77 SLT.SANTIAGO   97.45  4008.12    407.61   121.43   187.91     -       -        -0.12     0.03      -    99.84  4106.47
  78 SALTO OSORIO   92.83   373.80    309.62   135.40   174.09     -       -        -0.04     0.01      -    92.87   373.96
  82 SALTO CAXIAS   70.66   192.73    363.38    45.30   252.15     -       -        -0.12     0.10      -    94.84   258.70
  83 BAIXO IGUACU   58.98    19.59    305.08   191.45   104.72     -       -        -0.04     0.07      -    85.72    28.48
  86 BARRA GRANDE   93.70  2054.52     89.94    39.84   493.09     -       -        -0.11     0.07      -    73.50  1611.57
  88 SAO ROQUE     100.00   458.95     75.00    17.77   212.61     -       -        -0.06     0.13      -    66.13   303.49
  89 GARIBALDI     100.00    64.00    234.89    40.47   221.96     -       -        -0.03     0.05      -    56.94    36.44
  90 CAMPOS NOVOS   87.40   137.22    267.91    45.24   243.18     -       -        -0.04     0.01      -    74.36   116.75
  91 MACHADINHO    100.00  1057.00    814.69   102.52   719.27     -       -        -0.07     0.04      -    99.33  1049.93
  92 ITA            80.52   642.43    836.26   120.74   729.79     -       -        -0.18     0.22      -    78.73   628.12
  93 PASSO FUNDO    95.64  1342.79     15.55     8.18   131.42     -       -        -0.15     0.06      -    86.81  1218.83
  94 MONJOLINHO    100.00    10.98    141.45    10.42   137.10     -       -        -0.01     0.01      -    44.69     4.91
  95 QUEBRA QUEIX  100.00    26.00     21.69     9.40    20.99     -       -         0.00     0.01      -    66.53    17.30
  97 CASTRO ALVES  100.00     5.00     65.49    13.50    52.01     -       -        -0.01     0.07      -    98.50     4.92
  98 MONTE CLARO   100.00     1.18     86.83    31.17    55.63     -       -         0.00     0.10      -    93.35     1.10
  99 14 DE JULHO   100.00     5.69     87.90    29.07    59.16     -       -        -0.01     0.04      -    93.54     5.32
 101 SAO JOSE       19.00     4.29     76.72    22.46    52.67     -       -        -0.03     0.10      -    25.74     5.81
 102 PASSO S JOAO  100.00    24.90     77.72    27.26    59.95     -       -        -0.02     0.01      -    61.93    15.42
 103 FOZ CHAPECO    25.73    19.12    984.55   130.02   855.80     -       -        -0.13     0.08      -    24.08    17.89
 107 EDGARD SOUZA   35.00     0.31     24.31     -       25.79     0.00    -         0.00    -1.99      -    91.52     0.82
 108 TRAICAO         0.00     0.00      2.04     -        1.58     -       -         0.00    -         0.00  50.53     0.45
 109 PEDREIRA        0.00     0.00      2.56     -        2.04     -       -         0.00    -         0.00  57.48     0.52
 110 ERNESTINA     100.00   238.00     10.02     -       63.31     -       -        -0.04     0.00      -    77.63   184.75
 111 PASSO REAL     87.78  2946.77    118.86    37.10    94.11     -       -        -0.30     0.04      -    87.42  2934.69
 112 JACUI         100.00    24.39    129.62    19.52   113.49     -       -        -0.01     0.00      -    86.10    21.00
 113 ITAUBA         79.53   125.82    135.43    45.86    70.18     -       -        -0.03     0.03      -    91.78   145.20
 114 D. FRANCISCA  100.00    62.56    119.83    30.38    94.12     -       -        -0.04     0.03      -    92.55    57.90
 115 G.P. SOUZA     90.36   140.96      4.06     1.56     0.31     -       -        -0.01     0.01      -    91.77   143.16
 117 GUARAPIRANGA   60.00   113.51      4.41     -        0.00     -       -         0.00     0.89      -    61.86   117.03
 118 BILLINGS       60.00   679.00      5.36     -        2.56   105.84    -        -0.01     0.68     0.00  50.84   575.30
 119 HENRY BORDEN     -        -      105.84     6.40    99.44     -       -         0.00    -          -      -        -  
 120 JAGUARI        89.62   710.69      4.32     2.68     0.00     -       -        -0.04     0.45      -    89.77   711.91
 121 PARAIBUNA      72.77  1918.22     10.28     9.45     0.00     -       -        -0.12     0.01      -    72.81  1919.16
 122 SANTA BRANCA   66.88   205.99      8.96     7.13     0.54     -       -        -0.02     0.00      -    67.30   207.30
 123 FUNIL          46.00   278.30     22.81    25.76     7.60     -       -        -0.02     0.54      -    44.17   267.23
 124 LAJES          60.00   267.20      2.06     -        1.38     2.34    -        -0.02     0.00      -    59.63   265.57
 125 STA CECILIA      -        -       21.77     -       20.72     -       -         0.00     0.05    -1.00    -        -  
 126 PICADA           -        -        2.68     2.40     0.27     -       -         0.00     0.01      -      -        -  
 127 SOBRAGI          -        -        4.46     3.86     0.53     -       -         0.00     0.07      -      -        -  
 129 SIMPLICIO        -        -       29.69    16.40     5.44     -       -         0.00     7.85      -      -        -  
 130 ILHA POMBOS      -        -       23.80    30.88     0.68     -       -         0.00    -7.77      -      -        -  
 131 NILO PECANHA     -        -        9.56     9.23     0.33     -       -         0.00     0.00      -      -        -  
 133 P. PASSOS        -        -       13.51    12.95     0.56     -       -         0.00     0.00      -      -        -  
 134 SALTO GRANDE     -        -        6.83     6.24     0.56     -       -         0.00     0.02      -      -        -  
 135 P. ESTRELA     71.82    23.70      6.80     9.59     0.44     -       -         0.00     0.00      -    62.04    20.47
 139 CANDONGA       74.80     1.97      9.42    10.92     0.40     -       -         0.00     0.06      -     0.31     0.01
 141 BAGUARI        70.00     4.65     21.82    25.75     0.53     -       -         0.00     0.17      -     0.28     0.02
 143 AIMORES        72.00    20.86     25.94    44.74     1.96     -       -        -0.01     0.10      -     0.08     0.02
 144 MASCARENHAS      -        -       52.34    37.14    15.17     -       -         0.00     0.04      -      -        -  
 146 FONTES C         -        -        1.38     0.39     0.52     -       -         0.00     0.48      -      -        -  
 147 FONTES AB        -        -        3.04     2.54     0.50     -       -         0.00    -          -      -        -  
 148 IRAPE          43.98  1625.49      0.86     2.43     0.13     -       -         0.06     0.01      -    43.93  1623.73
 153 SAO DOMINGOS   44.63     6.63      9.94    13.33     1.10     -       -         0.00     0.03      -    14.14     2.10
 154 ITAPEBI        30.38    20.75     14.86    34.53     0.38     -       -        -0.04     0.10      -     0.93     0.63
 155 RETIRO BAIXO   33.67    13.76      5.18    16.19     1.00     -       -         0.00     0.10      -     4.07     1.66
 156 TRES MARIAS    51.45  7860.53     26.50    33.36     0.60     -       -         0.51     0.25      -    51.40  7852.32
 162 QUEIMADO       29.82   137.69      0.60     0.60     0.16     -       -         0.02     0.02      -    29.78   137.51
 169 SOBRADINHO     58.70 16828.70     79.14   239.54   305.22     -       -        24.56     1.71      -    56.98 16336.82
 172 ITAPARICA      55.34  1963.46    130.20   271.02   305.52     -       -         5.60     5.37      -    42.45  1506.16
 173 MOXOTO           -        -      522.82    76.40    35.16   410.60    -         0.48     0.18      -      -        -  
 174 P.AFONSO 123     -        -      111.56    93.22    18.30     -       -         0.03     0.01      -      -        -  
 175 P.AFONSO 4       -        -      410.60   154.44   255.54     -       -         0.62    -          -      -        -  
 178 XINGO          48.78    30.24    464.47   237.73   216.03     -       -         0.47     0.03      -    65.25    40.46
 180 TOCOS          60.00     0.66      1.47     -        0.00     1.37    -         0.00     0.00      -    68.76     0.76
 181 SANTANA        60.00     4.64      1.70     -        2.27     -       -         0.00     0.00    -2.76   3.85     0.30
 182 VIGARIO        60.00     6.60      3.77     -        9.56     0.71    -         0.00     0.00     3.77   0.93     0.10
 185 BARRA BRAUNA   34.93     6.07      6.65     7.57     0.40     -       -         0.00     0.14      -    26.55     4.62
 189 P. CAVALO      68.81   648.19      0.17     0.23     0.03     -       -        -0.07     0.36      -    68.77   647.81
 190 B. ESPERANCA   30.65   586.03     19.96    20.11     0.62     -       -         0.56     0.09      -    30.58   584.60
 192 GUILMAN-AMOR     -        -        3.37     2.97     0.34     -       -         0.00     0.05      -      -        -  
 193 SA CARVALHO      -        -        3.21     2.93     0.28     -       -         0.00     0.00      -      -        -  
 195 JAURU            -        -        6.13     5.76     0.36     -       -         0.00     0.01      -      -        -  
 196 GUAPORE          -        -        2.94     2.51     0.43     -       -         0.00     0.00      -      -        -  
 203 CORUMBA III    26.55    69.83     37.67    22.65    38.05     -       -         0.04     0.01      -    17.77    46.73
 204 CACH.CALDEIR     -        -        7.78     7.25     0.48     -       -         0.05    -          -      -        -  
 215 SALTO PILAO   100.00     0.14     47.87     9.16    38.69     -       -         0.00     0.02      -    94.08     0.13
 217 ROSAL            -        -        2.16     1.83     0.32     -       -         0.00     0.01      -      -        -  
 227 SINOP          20.11   414.02     38.02    97.72    66.35     -       -         0.35     0.31      -    13.96   287.31
 228 COLIDER          -        -      167.61    99.96    67.49     -       -         0.16     0.00      -      -        -  
 229 TELES PIRES      -        -       86.23    84.56     0.57     -       -         0.18     0.92      -      -        -  
 230 SAO MANOEL       -        -       83.86    83.83     0.85     -       -         0.09    -0.91      -      -        -  
 241 SLT VERDINHO     -        -       20.71    20.08     0.62     -       -         0.01     0.00      -      -        -  
 249 OURINHOS         -        -      139.96    36.12   103.84     -       -         0.00     0.00      -      -        -  
 251 SERRA MESA     67.02 28986.15    142.73    90.48     0.00     -       -         2.11     0.22      -    67.14 29036.07
 252 CANA BRAVA     95.69   374.15     89.49    97.53     4.90     -       -         0.22     0.01      -    92.32   360.98
 253 SAO SALVADOR   81.54    48.21    100.87    99.71    10.03     -       -         0.16     0.01      -    66.25    39.17
 257 PEIXE ANGIC    56.04   296.06    125.41   176.68    76.22     -       -         0.36     0.15      -    31.81   168.06
 261 LAJEADO        30.59   147.56    124.01   267.63     2.88     -       -         0.54     0.18      -     0.07     0.34
 262 SALTO            -        -       14.00    13.53     0.44     -       -         0.01     0.02      -      -        -  
 267 ESTREITO TOC   87.62  2094.89    137.36   138.04     1.84     -       -         0.81     0.12      -    87.48  2091.44
 272 CURUA-UNA      24.16   113.31     10.54    19.46    28.36     -       -         0.08     0.01      -    16.19    75.94
 275 TUCURUI        21.22  8271.98    236.14   344.20  1490.52     -       -         1.77     1.47      -    17.11  6670.15
 276 RONDON II      36.16   103.46      7.78    11.84     0.00     -       -        -0.01     0.03      -    34.73    99.38
 277 BALBINA        29.13  2998.74     48.38    70.14     1.20     -       -         1.21     0.00      -    28.90  2974.57
 278 MANSO          51.85  1530.09      5.10    25.01     9.01     -       -         0.24     0.02      -    50.86  1500.90
 279 SAMUEL          1.57    40.04      7.26    32.59     0.84     -       -        -0.09     0.03      -     0.55    13.92
 280 COARACY NUNE  100.00   114.23      8.24    21.59    83.47     -       -         0.02    -          -    15.23    17.39
 281 PONTE PEDRA      -        -        7.34     6.31     1.04     -       -        -0.01     0.01      -      -        -  
 283 STA CLARA MG     -        -        0.69     0.57     0.08     -       -         0.00     0.05      -      -        -  
 284 FERREIRA GOM     -        -      102.34   101.51     0.81     -       -         0.02     0.00      -      -        -  
 285 JIRAU           0.00     0.00    691.11   566.23     2.51     -       -        -0.30     5.31      -     7.84   117.36
 286 STO ANT JARI   38.43    11.06     12.87    13.26    10.57     -       -         0.02     0.08      -     0.04     0.01
 287 STO ANTONIO     0.00     0.00    611.56   606.15     5.84     -       -        -0.59     0.00      -     0.08     0.16
 288 BELO MONTE       -        -        1.02     0.00     0.00     -       -         0.46     0.56      -      -        -  
 290 ESPORA         77.65   107.16      5.27     3.71    36.85     -       -         0.02     0.01      -    52.06    71.84
 304 ITIQUIRA I       -        -        5.53     5.12     0.39     -       -         0.00     0.02      -      -        -  
 305 ITIQUIRA II      -        -        5.51     5.26     0.25     -       -         0.00    -          -      -        -  
 310 DARDANELOS       -        -        4.58     2.55     2.02     -       -         0.00     0.02      -      -        -  
 311 CACU           96.85    30.69     18.49    21.73     7.11     -       -         0.00     0.03      -    64.06    20.30
 312 B. COQUEIROS   93.31    44.60     28.18    16.48    23.69     -       -         0.01     0.00      -    68.22    32.61
 314 PIMENTAL        0.00     0.00     76.72    68.32     0.80     1.02    -         0.00    -          -     6.18     6.59
 315 FOZ R. CLARO     -        -       32.15     9.52    22.64     -       -         0.00     0.00      -      -        -  

2 - AFLUENCIAS E DEFLUENCIAS POR USINA (m3/s):

 IND     NOME         VAZ.      VAZ.      VAZ.      VAZ.      VAZ.       VAZ.     VAZ.       DEF.      DEF      TURB.
                      AFLU      TURB      VERT      DESV      DESC       ALTE     BOMB       MIN       MAX       MAX
----------------------------------------------------------------------------------------------------------------------
   1 CAMARGOS           67.    179.92      784.       -         -        0.20       -        0.00      0.00    204.11
   2 ITUTINGA          964.    213.26      751.       -         -        0.00       -        0.00      0.00    241.00
   4 FUNIL-GRANDE      630.    272.96      356.       -         -        0.60       -        0.00      0.00    391.62
   6 FURNAS            568.   1469.90       39.       -         -        3.00       -        0.00      0.00   1506.00
   7 M. DE MORAES     1404.   1134.18     3194.       -         -        0.60       -        0.00      0.00   1161.17
   8 ESTREITO         4070.   1539.85     2723.       -         -        0.10       -        0.00      0.00   1553.21
   9 JAGUARA          4008.   1015.08     3199.       -         -        0.00       -        0.00      0.00   1076.00
  10 IGARAPAVA        3561.   1135.21     2426.       -         -        0.10       -        0.00      0.00   1485.00
  11 VOLTA GRANDE     3342.   1161.56     3238.       -         -        0.20       -        0.00      0.00   1190.21
  12 P. COLOMBIA      3694.   1340.39     3327.       -         -        1.40       -        0.00      0.00   1397.23
  14 CACONDE            61.     84.09        0.       -         -        0.40       -        0.00      0.00     87.03
  15 E. DA CUNHA       101.     96.84        4.       -         -        0.30       -        0.00      0.00    143.14
  16 A.S.OLIVEIRA       94.     87.85        6.       -         -        0.00       -        0.00      0.00    172.00
  17 MARIMBONDO       4161.   2447.22     3032.       -         -        6.30       -        0.00      0.00   2471.18
  18 A. VERMELHA      4521.   2862.39    13953.       -         -        2.60       -        0.00      0.00   2912.38
  20 BATALHA            12.    134.46     1094.       -         -        0.10       -        0.00      0.00    143.26
  21 SERRA FACAO       852.    300.92      187.       -         -        0.10       -        0.00      0.00    312.33
  24 EMBORCACAO        382.    981.31       30.       -         -        1.00       -        0.00      0.00   1006.24
  25 NOVA PONTE        179.    539.22       31.       -         -        0.70       -        0.00      0.00    591.00
  26 MIRANDA           540.    676.84       48.       -         -        0.10       -        0.00      0.00    696.00
  27 CAPIM BRANC1      630.    451.06      149.       -         -        0.00       -        0.00      0.00    485.72
  28 CAPIM BRANC2      584.    351.06      229.       -         -        0.00       -        0.00      0.00    359.07
  29 CORUMBA IV         82.    222.87      218.       -         -        0.60       -        0.00      0.00    234.00
  30 CORUMBA I         430.    483.48       26.       -         -        0.70       -        0.00      0.00    539.38
  31 ITUMBIARA        1966.   2537.18       63.       -         -        1.90       -        0.00      0.00   2567.21
  32 CACH.DOURADA     2445.   2305.44      139.       -         -        0.30       -        0.00      0.00   2560.87
  33 SAO SIMAO        3057.   2137.82       50.       -         -        5.70       -        0.00      0.00   2175.94
  34 I. SOLTEIRA     16090.   9069.82      774.      0.00       -        1.90       -        0.00      0.00   9331.87
  37 BARRA BONITA      433.    481.13      769.       -         -       48.10       -        0.00      0.00    497.24
  38 A.S. LIMA         885.    651.34      614.       -         -        1.40       -        0.00      0.00    765.68
  39 IBITINGA         1195.    679.09      852.       -         -        1.70       -        0.00      0.00    732.23
  40 PROMISSAO        1422.    846.28      531.       -         -        0.90       -        0.00      0.00    868.35
  42 NAVANHANDAVA     1286.   1350.00      580.       -         -        0.40       -        0.00      0.00   1389.00
  43 TRES IRMAOS      1621.   2049.48       90.    213.25       -        1.00       -        0.00      0.00   2200.00
  45 JUPIA           11364.   4776.36     4856.       -         -        1.60       -        0.00      0.00   7400.60
  46 P. PRIMAVERA     6432.   5178.54       52.       -         -        7.30       -        0.00      0.00   9084.69
  47 A.A. LAYDNER      231.    358.18        0.       -         -        1.00       -        0.00      0.00    368.00
  48 PIRAJU            356.    327.83       28.       -         -        0.00       -        0.00      0.00    354.00
  49 CHAVANTES         447.    580.35     1161.       -         -        0.60       -        0.00      0.00    628.99
  50 L.N. GARCEZ      1603.    449.04     1153.       -         -        0.90       -        0.00      0.00    561.01
  51 CANOAS II        1485.    404.67     1080.       -         -        0.10       -        0.00      0.00    533.51
  52 CANOAS I         1445.    285.15     1160.       -         -        0.20       -        0.00      0.00    366.21
  57 MAUA              686.    318.88     2875.       -         -        0.80       -        0.00      0.00    333.78
  61 CAPIVARA         2311.    880.91     7602.       -         -        2.70       -        0.00      0.00   1462.24
  62 TAQUARUCU        6657.   1444.96     5489.       -         -        0.30       -        0.00      0.00   2527.87
  63 ROSANA           5338.   1405.42     3359.       -         -        1.90       -        0.00      0.00   2475.96
  66 ITAIPU          12554.  12609.22        6.       -         -       11.30       -        0.00      0.00  13140.56
  71 STA CLARA PR      309.    139.26      381.       -         -        0.40       -        0.00      0.00    158.00
  72 FUNDAO            523.    133.21      390.       -         -        0.00       -        0.00      0.00    150.00
  73 JORDAO            559.       -        475.    104.24       -        0.00       -        0.00      0.00       -  
  74 G.B. MUNHOZ      1546.    904.92     2819.       -         -        6.20       -        0.00      0.00   1018.99
  76 SEGREDO          4045.   1147.45     2955.       -         -        0.10       -        0.00      0.00   1230.22
  77 SLT.SANTIAGO     4718.   1405.43     2175.       -         -        0.30       -        0.00      0.00   1540.00
  78 SALTO OSORIO     3584.   1567.14     2015.       -         -        0.10       -        0.00      0.00   1827.40
  82 SALTO CAXIAS     4206.    524.28     2918.       -         -        1.10       -        0.00      0.00   1622.53
  83 BAIXO IGUACU     3531.   2215.81     1212.       -         -        0.80       -        0.00      0.00   2499.86
  86 BARRA GRANDE     1041.    461.14     5707.       -         -        0.80       -        0.00      0.00    503.42
  88 SAO ROQUE         868.    205.61     2461.       -         -        1.50       -        0.00      0.00    219.30
  89 GARIBALDI        2719.    468.36     2569.       -         -        0.60       -        0.00      0.00    505.96
  90 CAMPOS NOVOS     3101.    523.57     2815.       -         -        0.10       -        0.00      0.00    545.70
  91 MACHADINHO       9429.   1186.53     8325.       -         -        0.50       -        0.00      0.00   1273.71
  92 ITA              9679.   1397.41     8447.       -         -        2.60       -        0.00      0.00   1554.80
  93 PASSO FUNDO       180.     94.64     1521.       -         -        0.70       -        0.00      0.00    104.00
  94 MONJOLINHO       1637.    120.66     1587.       -         -        0.10       -        0.00      0.00    155.99
  95 QUEBRA QUEIX      251.    108.78      243.       -         -        0.10       -        0.00      0.00    117.00
  97 CASTRO ALVES      758.    156.19      602.       -         -        0.80       -        0.00      0.00    157.01
  98 MONTE CLARO      1005.    360.72      644.       -         -        1.20       -        0.00      0.00    376.00
  99 14 DE JULHO      1017.    336.50      685.       -         -        0.50       -        0.00      0.00    346.00
 101 SAO JOSE          888.    260.00      610.       -         -        1.10       -        0.00      0.00    282.00
 102 PASSO S JOAO      899.    315.46      694.       -         -        0.10       -        0.00      0.00    332.00
 103 FOZ CHAPECO     11395.   1504.86     9905.       -         -        0.90       -        0.00      0.00   1935.06
 107 EDGARD SOUZA      281.       -        298.      0.00       -      -23.00       -        0.00      0.00       -  
 108 TRAICAO            24.       -         18.       -         -         -        0.00      0.00      0.00       -  
 109 PEDREIRA           30.       -         24.       -         -         -        0.00      0.00      0.00       -  
 110 ERNESTINA         116.       -        733.       -         -        0.00       -        0.00      0.00       -  
 111 PASSO REAL       1376.    429.34     1089.       -         -        0.50       -        0.00      0.00    474.00
 112 JACUI            1500.    225.95     1314.       -         -        0.00       -        0.00      0.00    234.00
 113 ITAUBA           1567.    530.84      812.       -         -        0.30       -        0.00      0.00    607.88
 114 D. FRANCISCA     1387.    351.63     1089.       -         -        0.40       -        0.00      0.00    360.28
 115 G.P. SOUZA         47.     18.04        4.       -         -        0.10       -        0.00      0.00     30.32
 117 GUARAPIRANGA       51.       -          0.       -         -       10.30       -        0.00      0.00       -  
 118 BILLINGS           62.       -         30.   1224.99       -        7.90      0.00      0.00      0.00       -  
 119 HENRY BORDEN     1225.     74.09     1151.       -         -         -         -        0.00      0.00    144.36
 120 JAGUARI            50.     31.07        0.       -         -        5.23       -        0.00      0.00     36.30
 121 PARAIBUNA         119.    109.43        0.       -         -        0.10       -        0.00      0.00    128.00
 122 SANTA BRANCA      104.     82.54        6.       -         -        0.00       -        0.00      0.00    136.08
 123 FUNIL             264.    298.10       88.       -         -        6.20       -        0.00      0.00    333.43
 124 LAJES              24.       -         16.     27.03       -        0.00       -        0.00      0.00       -  
 125 STA CECILIA       252.       -        240.       -         -        0.60    -11.63      0.00      0.00       -  
 126 PICADA             31.     27.77        3.       -         -        0.10       -        0.00      0.00     43.93
 127 SOBRAGI            52.     44.67        6.       -         -        0.80       -        0.00      0.00     87.00
 129 SIMPLICIO         344.    189.76       63.       -         -       90.90       -        0.00      0.00    204.23
 130 ILHA POMBOS       275.    357.44        8.       -         -      -89.90       -        0.00      0.00    662.00
 131 NILO PECANHA      111.    106.80        4.       -         -        0.00       -        0.00      0.00    113.72
 133 P. PASSOS         156.    149.86        7.       -         -        0.00       -        0.00      0.00    308.87
 134 SALTO GRANDE       79.     72.25        7.       -         -        0.20       -        0.00      0.00    128.00
 135 P. ESTRELA         79.    110.96        5.       -         -        0.00       -        0.00      0.00    247.77
 139 CANDONGA          109.    126.35        5.       -         -        0.70       -        0.00      0.00    213.02
 141 BAGUARI           253.    298.01        6.       -         -        2.00       -        0.00      0.00    896.00
 143 AIMORES           300.    517.79       23.       -         -        1.10       -        0.00      0.00   1324.41
 144 MASCARENHAS       606.    429.81      176.       -         -        0.50       -        0.00      0.00   1212.00
 146 FONTES C           16.      4.50        6.       -         -        5.50       -        0.00      0.00      5.33
 147 FONTES AB          35.     29.43        6.       -         -         -         -        0.00      0.00     33.54
 148 IRAPE              10.     28.09        1.       -         -        0.10       -        0.00      0.00    271.69
 153 SAO DOMINGOS      115.    154.27       13.       -         -        0.40       -        0.00      0.00    161.63
 154 ITAPEBI           172.    399.66        4.       -         -        1.20       -        0.00      0.00    681.00
 155 RETIRO BAIXO       60.    187.33       12.       -         -        1.10       -        0.00      0.00    254.69
