***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 19.0.46 - Agosto  de 2023 (CPLEX)                      *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - DEZEMBRO/23 - JANEIRO/24 - REV 0 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 29/11/2023                                                       
____________________________________________________________________


 
Relatorio dos Contratos de importacao/exportacao de energia e  
 
-----;--------;-----;--------------;----;----;-----------;
   1 ;   LEVE ; 173 ;   NFUNF3-I   ; CI ; SE ;      0.00 ;
   1 ;   LEVE ; 174 ;   NFUNF4-I   ; CI ; SE ;      0.00 ;
   1 ;   LEVE ; 301 ;   FUTDAE-E-F ; CE ; SE ;    150.00 ;
   1 ;   LEVE ; 311 ;   FUTDAS-I-F ; CI ; SE ;    150.00 ;
   1 ;   LEVE ; 312 ;   FUTDCS-I-F ; CE ; SE ;    200.00 ;
   1 ;   LEVE ; 302 ;   FUTDCE-E-F ; CI ; SE ;    200.00 ;
   1 ;   LEVE ; 501 ;   FUPL1F-E-F ; CE ; SE ;   3150.00 ;
   1 ;   LEVE ; 511 ;   FUPL1I-I-F ; CI ; SE ;   3150.00 ;
   1 ;   LEVE ; 502 ;   FUPL3F-E-F ; CE ; SE ;   1328.88 ;
   1 ;   LEVE ; 512 ;   FUPL3I-I-F ; CI ; SE ;   1328.88 ;
   1 ;   LEVE ; 601 ;   MBXNG3-E-F ; CE ; N  ;    108.46 ;
   1 ;   LEVE ; 602 ;   MBXNG4-E-F ; CE ; N  ;    108.46 ;
   1 ;   LEVE ; 611 ;   MDRIO1-I-F ; CI ; SE ;    108.46 ;
   1 ;   LEVE ; 612 ;   MDRIO2-I-F ; CI ; SE ;    108.46 ;
   1 ;   LEVE ; 621 ;   MDRIO1-E-F ; CE ; SE ;      0.00 ;
   1 ;   LEVE ; 622 ;   MDRIO2-E-F ; CE ; SE ;      0.00 ;
   1 ;   LEVE ; 631 ;   MBXNG3-I-F ; CI ; N  ;      0.00 ;
   1 ;   LEVE ; 632 ;   MBXNG4-I-F ; CI ; N  ;      0.00 ;
   1 ;   LEVE ; 701 ;   MBXNG1-E-F ; CE ; N  ;    108.56 ;
   1 ;   LEVE ; 702 ;   MBXNG2-E-F ; CE ; N  ;    108.56 ;
   1 ;   LEVE ; 711 ;   MDEST1-I-F ; CI ; SE ;    108.56 ;
   1 ;   LEVE ; 712 ;   MDEST2-I-F ; CI ; SE ;    108.56 ;
   1 ;   LEVE ; 721 ;   MDEST1-E-F ; CE ; SE ;      0.00 ;
   1 ;   LEVE ; 722 ;   MDEST2-E-F ; CE ; SE ;      0.00 ;
   1 ;   LEVE ; 731 ;   MBXNG1-I-F ; CI ; N  ;      0.00 ;
   1 ;   LEVE ; 732 ;   MBXNG2-I-F ; CI ; N  ;      0.00 ;
   2 ;   LEVE ; 101 ;   BKCPV2-E-F ; CE ; SE ;    359.70 ;
   2 ;   LEVE ; 102 ;   BKCPV4-E-F ; CE ; SE ;      0.00 ;
   2 ;   LEVE ; 111 ;   BKCPV1-I-F ; CI ; SE ;    359.70 ;
   2 ;   LEVE ; 112 ;   BKCPV3-I-F ; CI ; SE ;      0.00 ;
   2 ;   LEVE ; 121 ;   E1POL1-E-F ; CE ; SE ;    629.24 ;
   2 ;   LEVE ; 122 ;   E1POL2-E-F ; CE ; SE ;    629.24 ;
   2 ;   LEVE ; 131 ;   E2POL1-I-F ; CI ; SE ;    629.24 ;
   2 ;   LEVE ; 132 ;   E2POL2-I-F ; CI ; SE ;    629.24 ;
   2 ;   LEVE ; 141 ;   E3POL3-E-F ; CE ; SE ;      0.00 ;
   2 ;   LEVE ; 142 ;   E3POL4-E-F ; CE ; SE ;      0.00 ;
   2 ;   LEVE ; 151 ;   E4POL3-I-F ; CI ; SE ;      0.00 ;
   2 ;   LEVE ; 152 ;   E4POL4-I-F ; CI ; SE ;      0.00 ;
   2 ;   LEVE ; 383 ;   ATLANT-E   ; CE ; SE ;    230.00 ;
   2 ;   LEVE ;  65 ;   TKUTA2-I   ; CI ; SE ;     11.00 ;
   2 ;   LEVE ; 183 ;   TKUTAT-I   ; CI ; SE ;    219.00 ;
   2 ;   LEVE ;  60 ;   NFLU-E     ; CE ; SE ;      0.00 ;
   2 ;   LEVE ; 171 ;   NFUTNF-I   ; CI ; SE ;      0.00 ;
   2 ;   LEVE ; 172 ;   NFUNF2-I   ; CI ; SE ;      0.00 ;
   2 ;   LEVE ; 173 ;   NFUNF3-I   ; CI ; SE ;      0.00 ;
   2 ;   LEVE ; 174 ;   NFUNF4-I   ; CI ; SE ;      0.00 ;
   2 ;   LEVE ; 301 ;   FUTDAE-E-F ; CE ; SE ;    150.00 ;
   2 ;   LEVE ; 311 ;   FUTDAS-I-F ; CI ; SE ;    150.00 ;
   2 ;   LEVE ; 312 ;   FUTDCS-I-F ; CE ; SE ;    200.00 ;
   2 ;   LEVE ; 302 ;   FUTDCE-E-F ; CI ; SE ;    200.00 ;
   2 ;   LEVE ; 501 ;   FUPL1F-E-F ; CE ; SE ;   3150.00 ;
   2 ;   LEVE ; 511 ;   FUPL1I-I-F ; CI ; SE ;   3150.00 ;
   2 ;   LEVE ; 502 ;   FUPL3F-E-F ; CE ; SE ;   1329.78 ;
   2 ;   LEVE ; 512 ;   FUPL3I-I-F ; CI ; SE ;   1329.78 ;
   2 ;   LEVE ; 601 ;   MBXNG3-E-F ; CE ; N  ;    106.36 ;
   2 ;   LEVE ; 602 ;   MBXNG4-E-F ; CE ; N  ;    106.36 ;
   2 ;   LEVE ; 611 ;   MDRIO1-I-F ; CI ; SE ;    106.36 ;
   2 ;   LEVE ; 612 ;   MDRIO2-I-F ; CI ; SE ;    106.36 ;
   2 ;   LEVE ; 621 ;   MDRIO1-E-F ; CE ; SE ;      0.00 ;
   2 ;   LEVE ; 622 ;   MDRIO2-E-F ; CE ; SE ;      0.00 ;
   2 ;   LEVE ; 631 ;   MBXNG3-I-F ; CI ; N  ;      0.00 ;
   2 ;   LEVE ; 632 ;   MBXNG4-I-F ; CI ; N  ;      0.00 ;
   2 ;   LEVE ; 701 ;   MBXNG1-E-F ; CE ; N  ;    106.33 ;
   2 ;   LEVE ; 702 ;   MBXNG2-E-F ; CE ; N  ;    106.33 ;
   2 ;   LEVE ; 711 ;   MDEST1-I-F ; CI ; SE ;    106.33 ;
   2 ;   LEVE ; 712 ;   MDEST2-I-F ; CI ; SE ;    106.33 ;
   2 ;   LEVE ; 721 ;   MDEST1-E-F ; CE ; SE ;      0.00 ;
   2 ;   LEVE ; 722 ;   MDEST2-E-F ; CE ; SE ;      0.00 ;
   2 ;   LEVE ; 731 ;   MBXNG1-I-F ; CI ; N  ;      0.00 ;
   2 ;   LEVE ; 732 ;   MBXNG2-I-F ; CI ; N  ;      0.00 ;
   3 ;   LEVE ; 101 ;   BKCPV2-E-F ; CE ; SE ;    379.07 ;
   3 ;   LEVE ; 102 ;   BKCPV4-E-F ; CE ; SE ;      0.00 ;
   3 ;   LEVE ; 111 ;   BKCPV1-I-F ; CI ; SE ;    379.07 ;
   3 ;   LEVE ; 112 ;   BKCPV3-I-F ; CI ; SE ;      0.00 ;
   3 ;   LEVE ; 121 ;   E1POL1-E-F ; CE ; SE ;    509.42 ;
   3 ;   LEVE ; 122 ;   E1POL2-E-F ; CE ; SE ;    509.42 ;
   3 ;   LEVE ; 131 ;   E2POL1-I-F ; CI ; SE ;    509.42 ;
   3 ;   LEVE ; 132 ;   E2POL2-I-F ; CI ; SE ;    509.42 ;
   3 ;   LEVE ; 141 ;   E3POL3-E-F ; CE ; SE ;      0.00 ;
   3 ;   LEVE ; 142 ;   E3POL4-E-F ; CE ; SE ;      0.00 ;
   3 ;   LEVE ; 151 ;   E4POL3-I-F ; CI ; SE ;      0.00 ;
   3 ;   LEVE ; 152 ;   E4POL4-I-F ; CI ; SE ;      0.00 ;
   3 ;   LEVE ; 383 ;   ATLANT-E   ; CE ; SE ;    230.00 ;
   3 ;   LEVE ;  65 ;   TKUTA2-I   ; CI ; SE ;     11.00 ;
   3 ;   LEVE ; 183 ;   TKUTAT-I   ; CI ; SE ;    219.00 ;
   3 ;   LEVE ;  60 ;   NFLU-E     ; CE ; SE ;      0.00 ;
   3 ;   LEVE ; 171 ;   NFUTNF-I   ; CI ; SE ;      0.00 ;
   3 ;   LEVE ; 172 ;   NFUNF2-I   ; CI ; SE ;      0.00 ;
   3 ;   LEVE ; 173 ;   NFUNF3-I   ; CI ; SE ;      0.00 ;
   3 ;   LEVE ; 174 ;   NFUNF4-I   ; CI ; SE ;      0.00 ;
   3 ;   LEVE ; 301 ;   FUTDAE-E-F ; CE ; SE ;    150.00 ;
   3 ;   LEVE ; 311 ;   FUTDAS-I-F ; CI ; SE ;    150.00 ;
   3 ;   LEVE ; 312 ;   FUTDCS-I-F ; CE ; SE ;    200.00 ;
   3 ;   LEVE ; 302 ;   FUTDCE-E-F ; CI ; SE ;    200.00 ;
   3 ;   LEVE ; 501 ;   FUPL1F-E-F ; CE ; SE ;   3150.00 ;
   3 ;   LEVE ; 511 ;   FUPL1I-I-F ; CI ; SE ;   3150.00 ;
   3 ;   LEVE ; 502 ;   FUPL3F-E-F ; CE ; SE ;   1328.89 ;
   3 ;   LEVE ; 512 ;   FUPL3I-I-F ; CI ; SE ;   1328.89 ;
   3 ;   LEVE ; 601 ;   MBXNG3-E-F ; CE ; N  ;    106.08 ;
   3 ;   LEVE ; 602 ;   MBXNG4-E-F ; CE ; N  ;    106.08 ;
   3 ;   LEVE ; 611 ;   MDRIO1-I-F ; CI ; SE ;    106.08 ;
   3 ;   LEVE ; 612 ;   MDRIO2-I-F ; CI ; SE ;    106.08 ;
   3 ;   LEVE ; 621 ;   MDRIO1-E-F ; CE ; SE ;      0.00 ;
   3 ;   LEVE ; 622 ;   MDRIO2-E-F ; CE ; SE ;      0.00 ;
   3 ;   LEVE ; 631 ;   MBXNG3-I-F ; CI ; N  ;      0.00 ;
   3 ;   LEVE ; 632 ;   MBXNG4-I-F ; CI ; N  ;      0.00 ;
   3 ;   LEVE ; 701 ;   MBXNG1-E-F ; CE ; N  ;    105.99 ;
   3 ;   LEVE ; 702 ;   MBXNG2-E-F ; CE ; N  ;    105.99 ;
   3 ;   LEVE ; 711 ;   MDEST1-I-F ; CI ; SE ;    105.99 ;
   3 ;   LEVE ; 712 ;   MDEST2-I-F ; CI ; SE ;    105.99 ;
   3 ;   LEVE ; 721 ;   MDEST1-E-F ; CE ; SE ;      0.00 ;
   3 ;   LEVE ; 722 ;   MDEST2-E-F ; CE ; SE ;      0.00 ;
   3 ;   LEVE ; 731 ;   MBXNG1-I-F ; CI ; N  ;      0.00 ;
   3 ;   LEVE ; 732 ;   MBXNG2-I-F ; CI ; N  ;      0.00 ;
   4 ;   LEVE ; 101 ;   BKCPV2-E-F ; CE ; SE ;    378.34 ;
   4 ;   LEVE ; 102 ;   BKCPV4-E-F ; CE ; SE ;      0.00 ;
   4 ;   LEVE ; 111 ;   BKCPV1-I-F ; CI ; SE ;    378.34 ;
   4 ;   LEVE ; 112 ;   BKCPV3-I-F ; CI ; SE ;      0.00 ;
   4 ;   LEVE ; 121 ;   E1POL1-E-F ; CE ; SE ;    481.55 ;
   4 ;   LEVE ; 122 ;   E1POL2-E-F ; CE ; SE ;    481.55 ;
   4 ;   LEVE ; 131 ;   E2POL1-I-F ; CI ; SE ;    481.55 ;
   4 ;   LEVE ; 132 ;   E2POL2-I-F ; CI ; SE ;    481.55 ;
   4 ;   LEVE ; 141 ;   E3POL3-E-F ; CE ; SE ;      0.00 ;
   4 ;   LEVE ; 142 ;   E3POL4-E-F ; CE ; SE ;      0.00 ;
   4 ;   LEVE ; 151 ;   E4POL3-I-F ; CI ; SE ;      0.00 ;
   4 ;   LEVE ; 152 ;   E4POL4-I-F ; CI ; SE ;      0.00 ;
   4 ;   LEVE ; 383 ;   ATLANT-E   ; CE ; SE ;    230.00 ;
   4 ;   LEVE ;  65 ;   TKUTA2-I   ; CI ; SE ;     11.00 ;
   4 ;   LEVE ; 183 ;   TKUTAT-I   ; CI ; SE ;    219.00 ;
   4 ;   LEVE ;  60 ;   NFLU-E     ; CE ; SE ;      0.00 ;
   4 ;   LEVE ; 171 ;   NFUTNF-I   ; CI ; SE ;      0.00 ;
   4 ;   LEVE ; 172 ;   NFUNF2-I   ; CI ; SE ;      0.00 ;
   4 ;   LEVE ; 173 ;   NFUNF3-I   ; CI ; SE ;      0.00 ;
   4 ;   LEVE ; 174 ;   NFUNF4-I   ; CI ; SE ;      0.00 ;
   4 ;   LEVE ; 301 ;   FUTDAE-E-F ; CE ; SE ;    150.00 ;
   4 ;   LEVE ; 311 ;   FUTDAS-I-F ; CI ; SE ;    150.00 ;
   4 ;   LEVE ; 312 ;   FUTDCS-I-F ; CE ; SE ;    200.00 ;
   4 ;   LEVE ; 302 ;   FUTDCE-E-F ; CI ; SE ;    200.00 ;
   4 ;   LEVE ; 501 ;   FUPL1F-E-F ; CE ; SE ;   3150.00 ;
   4 ;   LEVE ; 511 ;   FUPL1I-I-F ; CI ; SE ;   3150.00 ;
   4 ;   LEVE ; 502 ;   FUPL3F-E-F ; CE ; SE ;   1329.13 ;
   4 ;   LEVE ; 512 ;   FUPL3I-I-F ; CI ; SE ;   1329.13 ;
   4 ;   LEVE ; 601 ;   MBXNG3-E-F ; CE ; N  ;    106.10 ;
   4 ;   LEVE ; 602 ;   MBXNG4-E-F ; CE ; N  ;    106.10 ;
   4 ;   LEVE ; 611 ;   MDRIO1-I-F ; CI ; SE ;    106.10 ;
   4 ;   LEVE ; 612 ;   MDRIO2-I-F ; CI ; SE ;    106.10 ;
   4 ;   LEVE ; 621 ;   MDRIO1-E-F ; CE ; SE ;      0.00 ;
   4 ;   LEVE ; 622 ;   MDRIO2-E-F ; CE ; SE ;      0.00 ;
   4 ;   LEVE ; 631 ;   MBXNG3-I-F ; CI ; N  ;      0.00 ;
   4 ;   LEVE ; 632 ;   MBXNG4-I-F ; CI ; N  ;      0.00 ;
   4 ;   LEVE ; 701 ;   MBXNG1-E-F ; CE ; N  ;    106.07 ;
   4 ;   LEVE ; 702 ;   MBXNG2-E-F ; CE ; N  ;    106.07 ;
   4 ;   LEVE ; 711 ;   MDEST1-I-F ; CI ; SE ;    106.07 ;
   4 ;   LEVE ; 712 ;   MDEST2-I-F ; CI ; SE ;    106.07 ;
   4 ;   LEVE ; 721 ;   MDEST1-E-F ; CE ; SE ;      0.00 ;
   4 ;   LEVE ; 722 ;   MDEST2-E-F ; CE ; SE ;      0.00 ;
   4 ;   LEVE ; 731 ;   MBXNG1-I-F ; CI ; N  ;      0.00 ;
   4 ;   LEVE ; 732 ;   MBXNG2-I-F ; CI ; N  ;      0.00 ;
   5 ;   LEVE ; 101 ;   BKCPV2-E-F ; CE ; SE ;    372.70 ;
   5 ;   LEVE ; 102 ;   BKCPV4-E-F ; CE ; SE ;      0.00 ;
   5 ;   LEVE ; 111 ;   BKCPV1-I-F ; CI ; SE ;    372.70 ;
   5 ;   LEVE ; 112 ;   BKCPV3-I-F ; CI ; SE ;      0.00 ;
   5 ;   LEVE ; 121 ;   E1POL1-E-F ; CE ; SE ;    437.12 ;
   5 ;   LEVE ; 122 ;   E1POL2-E-F ; CE ; SE ;    437.12 ;
   5 ;   LEVE ; 131 ;   E2POL1-I-F ; CI ; SE ;    437.12 ;
   5 ;   LEVE ; 132 ;   E2POL2-I-F ; CI ; SE ;    437.12 ;
   5 ;   LEVE ; 141 ;   E3POL3-E-F ; CE ; SE ;      0.00 ;
   5 ;   LEVE ; 142 ;   E3POL4-E-F ; CE ; SE ;      0.00 ;
   5 ;   LEVE ; 151 ;   E4POL3-I-F ; CI ; SE ;      0.00 ;
   5 ;   LEVE ; 152 ;   E4POL4-I-F ; CI ; SE ;      0.00 ;
   5 ;   LEVE ; 383 ;   ATLANT-E   ; CE ; SE ;    230.00 ;
   5 ;   LEVE ;  65 ;   TKUTA2-I   ; CI ; SE ;     11.00 ;
   5 ;   LEVE ; 183 ;   TKUTAT-I   ; CI ; SE ;    219.00 ;
   5 ;   LEVE ;  60 ;   NFLU-E     ; CE ; SE ;      0.00 ;
   5 ;   LEVE ; 171 ;   NFUTNF-I   ; CI ; SE ;      0.00 ;
   5 ;   LEVE ; 172 ;   NFUNF2-I   ; CI ; SE ;      0.00 ;
   5 ;   LEVE ; 173 ;   NFUNF3-I   ; CI ; SE ;      0.00 ;
   5 ;   LEVE ; 174 ;   NFUNF4-I   ; CI ; SE ;      0.00 ;
   5 ;   LEVE ; 301 ;   FUTDAE-E-F ; CE ; SE ;    150.00 ;
   5 ;   LEVE ; 311 ;   FUTDAS-I-F ; CI ; SE ;    150.00 ;
   5 ;   LEVE ; 312 ;   FUTDCS-I-F ; CE ; SE ;    200.00 ;
   5 ;   LEVE ; 302 ;   FUTDCE-E-F ; CI ; SE ;    200.00 ;
   5 ;   LEVE ; 501 ;   FUPL1F-E-F ; CE ; SE ;   1329.07 ;
   5 ;   LEVE ; 511 ;   FUPL1I-I-F ; CI ; SE ;   1329.07 ;
   5 ;   LEVE ; 502 ;   FUPL3F-E-F ; CE ; SE ;   3150.00 ;
   5 ;   LEVE ; 512 ;   FUPL3I-I-F ; CI ; SE ;   3150.00 ;
   5 ;   LEVE ; 601 ;   MBXNG3-E-F ; CE ; N  ;    106.44 ;
   5 ;   LEVE ; 602 ;   MBXNG4-E-F ; CE ; N  ;    106.44 ;
   5 ;   LEVE ; 611 ;   MDRIO1-I-F ; CI ; SE ;    106.44 ;
   5 ;   LEVE ; 612 ;   MDRIO2-I-F ; CI ; SE ;    106.44 ;
   5 ;   LEVE ; 621 ;   MDRIO1-E-F ; CE ; SE ;      0.00 ;
   5 ;   LEVE ; 622 ;   MDRIO2-E-F ; CE ; SE ;      0.00 ;
   5 ;   LEVE ; 631 ;   MBXNG3-I-F ; CI ; N  ;      0.00 ;
   5 ;   LEVE ; 632 ;   MBXNG4-I-F ; CI ; N  ;      0.00 ;
   5 ;   LEVE ; 701 ;   MBXNG1-E-F ; CE ; N  ;    106.65 ;
   5 ;   LEVE ; 702 ;   MBXNG2-E-F ; CE ; N  ;    106.65 ;
   5 ;   LEVE ; 711 ;   MDEST1-I-F ; CI ; SE ;    106.65 ;
   5 ;   LEVE ; 712 ;   MDEST2-I-F ; CI ; SE ;    106.65 ;
   5 ;   LEVE ; 721 ;   MDEST1-E-F ; CE ; SE ;      0.00 ;
   5 ;   LEVE ; 722 ;   MDEST2-E-F ; CE ; SE ;      0.00 ;
   5 ;   LEVE ; 731 ;   MBXNG1-I-F ; CI ; N  ;      0.00 ;
   5 ;   LEVE ; 732 ;   MBXNG2-I-F ; CI ; N  ;      0.00 ;
   6 ;   LEVE ; 101 ;   BKCPV2-E-F ; CE ; SE ;    357.64 ;
   6 ;   LEVE ; 102 ;   BKCPV4-E-F ; CE ; SE ;      0.00 ;
   6 ;   LEVE ; 111 ;   BKCPV1-I-F ; CI ; SE ;    357.64 ;
   6 ;   LEVE ; 112 ;   BKCPV3-I-F ; CI ; SE ;      0.00 ;
   6 ;   LEVE ; 121 ;   E1POL1-E-F ; CE ; SE ;    447.31 ;
   6 ;   LEVE ; 122 ;   E1POL2-E-F ; CE ; SE ;    447.31 ;
   6 ;   LEVE ; 131 ;   E2POL1-I-F ; CI ; SE ;    447.31 ;
   6 ;   LEVE ; 132 ;   E2POL2-I-F ; CI ; SE ;    447.31 ;
   6 ;   LEVE ; 141 ;   E3POL3-E-F ; CE ; SE ;      0.00 ;
   6 ;   LEVE ; 142 ;   E3POL4-E-F ; CE ; SE ;      0.00 ;
   6 ;   LEVE ; 151 ;   E4POL3-I-F ; CI ; SE ;      0.00 ;
   6 ;   LEVE ; 152 ;   E4POL4-I-F ; CI ; SE ;      0.00 ;
   6 ;   LEVE ; 383 ;   ATLANT-E   ; CE ; SE ;    230.00 ;
   6 ;   LEVE ;  65 ;   TKUTA2-I   ; CI ; SE ;     11.00 ;
   6 ;   LEVE ; 183 ;   TKUTAT-I   ; CI ; SE ;    219.00 ;
   6 ;   LEVE ;  60 ;   NFLU-E     ; CE ; SE ;      0.00 ;
   6 ;   LEVE ; 171 ;   NFUTNF-I   ; CI ; SE ;      0.00 ;
   6 ;   LEVE ; 172 ;   NFUNF2-I   ; CI ; SE ;      0.00 ;
   6 ;   LEVE ; 173 ;   NFUNF3-I   ; CI ; SE ;      0.00 ;
   6 ;   LEVE ; 174 ;   NFUNF4-I   ; CI ; SE ;      0.00 ;
   6 ;   LEVE ; 301 ;   FUTDAE-E-F ; CE ; SE ;    150.00 ;
   6 ;   LEVE ; 311 ;   FUTDAS-I-F ; CI ; SE ;    150.00 ;
   6 ;   LEVE ; 312 ;   FUTDCS-I-F ; CE ; SE ;    200.00 ;
   6 ;   LEVE ; 302 ;   FUTDCE-E-F ; CI ; SE ;    200.00 ;
   6 ;   LEVE ; 501 ;   FUPL1F-E-F ; CE ; SE ;   1328.08 ;
   6 ;   LEVE ; 511 ;   FUPL1I-I-F ; CI ; SE ;   1328.08 ;
   6 ;   LEVE ; 502 ;   FUPL3F-E-F ; CE ; SE ;   3150.00 ;
   6 ;   LEVE ; 512 ;   FUPL3I-I-F ; CI ; SE ;   3150.00 ;
   6 ;   LEVE ; 601 ;   MBXNG3-E-F ; CE ; N  ;    106.94 ;
   6 ;   LEVE ; 602 ;   MBXNG4-E-F ; CE ; N  ;    106.94 ;
   6 ;   LEVE ; 611 ;   MDRIO1-I-F ; CI ; SE ;    106.94 ;
   6 ;   LEVE ; 612 ;   MDRIO2-I-F ; CI ; SE ;    106.94 ;
   6 ;   LEVE ; 621 ;   MDRIO1-E-F ; CE ; SE ;      0.00 ;
   6 ;   LEVE ; 622 ;   MDRIO2-E-F ; CE ; SE ;      0.00 ;
   6 ;   LEVE ; 631 ;   MBXNG3-I-F ; CI ; N  ;      0.00 ;
   6 ;   LEVE ; 632 ;   MBXNG4-I-F ; CI ; N  ;      0.00 ;
   6 ;   LEVE ; 701 ;   MBXNG1-E-F ; CE ; N  ;    107.25 ;
   6 ;   LEVE ; 702 ;   MBXNG2-E-F ; CE ; N  ;    107.25 ;
   6 ;   LEVE ; 711 ;   MDEST1-I-F ; CI ; SE ;    107.25 ;
   6 ;   LEVE ; 712 ;   MDEST2-I-F ; CI ; SE ;    107.25 ;
   6 ;   LEVE ; 721 ;   MDEST1-E-F ; CE ; SE ;      0.00 ;
   6 ;   LEVE ; 722 ;   MDEST2-E-F ; CE ; SE ;      0.00 ;
   6 ;   LEVE ; 731 ;   MBXNG1-I-F ; CI ; N  ;      0.00 ;
   6 ;   LEVE ; 732 ;   MBXNG2-I-F ; CI ; N  ;      0.00 ;
   7 ;   LEVE ; 101 ;   BKCPV2-E-F ; CE ; SE ;    275.58 ;
   7 ;   LEVE ; 102 ;   BKCPV4-E-F ; CE ; SE ;      0.00 ;
   7 ;   LEVE ; 111 ;   BKCPV1-I-F ; CI ; SE ;    275.58 ;
   7 ;   LEVE ; 112 ;   BKCPV3-I-F ; CI ; SE ;      0.00 ;
   7 ;   LEVE ; 121 ;   E1POL1-E-F ; CE ; SE ;    414.07 ;
   7 ;   LEVE ; 122 ;   E1POL2-E-F ; CE ; SE ;    414.07 ;
   7 ;   LEVE ; 131 ;   E2POL1-I-F ; CI ; SE ;    414.07 ;
   7 ;   LEVE ; 132 ;   E2POL2-I-F ; CI ; SE ;    414.07 ;
   7 ;   LEVE ; 141 ;   E3POL3-E-F ; CE ; SE ;      0.00 ;
   7 ;   LEVE ; 142 ;   E3POL4-E-F ; CE ; SE ;      0.00 ;
   7 ;   LEVE ; 151 ;   E4POL3-I-F ; CI ; SE ;      0.00 ;
   7 ;   LEVE ; 152 ;   E4POL4-I-F ; CI ; SE ;      0.00 ;
   7 ;   LEVE ; 383 ;   ATLANT-E   ; CE ; SE ;    230.00 ;
   7 ;   LEVE ;  65 ;   TKUTA2-I   ; CI ; SE ;     11.00 ;
   7 ;   LEVE ; 183 ;   TKUTAT-I   ; CI ; SE ;    219.00 ;
   7 ;   LEVE ;  60 ;   NFLU-E     ; CE ; SE ;      0.00 ;
   7 ;   LEVE ; 171 ;   NFUTNF-I   ; CI ; SE ;      0.00 ;
   7 ;   LEVE ; 172 ;   NFUNF2-I   ; CI ; SE ;      0.00 ;
   7 ;   LEVE ; 173 ;   NFUNF3-I   ; CI ; SE ;      0.00 ;
   7 ;   LEVE ; 174 ;   NFUNF4-I   ; CI ; SE ;      0.00 ;
   7 ;   LEVE ; 301 ;   FUTDAE-E-F ; CE ; SE ;    150.00 ;
   7 ;   LEVE ; 311 ;   FUTDAS-I-F ; CI ; SE ;    150.00 ;
   7 ;   LEVE ; 312 ;   FUTDCS-I-F ; CE ; SE ;    200.00 ;
   7 ;   LEVE ; 302 ;   FUTDCE-E-F ; CI ; SE ;    200.00 ;
   7 ;   LEVE ; 501 ;   FUPL1F-E-F ; CE ; SE ;   1327.02 ;
   7 ;   LEVE ; 511 ;   FUPL1I-I-F ; CI ; SE ;   1327.02 ;
   7 ;   LEVE ; 502 ;   FUPL3F-E-F ; CE ; SE ;   3150.00 ;
   7 ;   LEVE ; 512 ;   FUPL3I-I-F ; CI ; SE ;   3150.00 ;
